"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/05/2026 19:15:00 - 01/05/2026 19:30:00","BZN|GR","Without Sequence","100.00","",""
"01/05/2026 19:30:00 - 01/05/2026 19:45:00","BZN|GR","Without Sequence","71.57","",""
"01/05/2026 19:45:00 - 01/05/2026 20:00:00","BZN|GR","Without Sequence","71.57","",""
"01/05/2026 20:00:00 - 01/05/2026 20:15:00","BZN|GR","Without Sequence","71.57","",""
"01/05/2026 20:15:00 - 01/05/2026 20:30:00","BZN|GR","Without Sequence","71.57","",""
"01/05/2026 20:30:00 - 01/05/2026 20:45:00","BZN|GR","Without Sequence","71.57","",""
"01/05/2026 20:45:00 - 01/05/2026 21:00:00","BZN|GR","Without Sequence","71.57","",""
"01/05/2026 21:00:00 - 01/05/2026 21:15:00","BZN|GR","Without Sequence","71.58","",""
"01/05/2026 21:15:00 - 01/05/2026 21:30:00","BZN|GR","Without Sequence","71.57","",""
"01/05/2026 21:30:00 - 01/05/2026 21:45:00","BZN|GR","Without Sequence","71.57","",""
"01/05/2026 21:45:00 - 01/05/2026 22:00:00","BZN|GR","Without Sequence","103.33","",""
"01/05/2026 22:00:00 - 01/05/2026 22:15:00","BZN|GR","Without Sequence","112.72","",""
"01/05/2026 22:15:00 - 01/05/2026 22:30:00","BZN|GR","Without Sequence","110.67","",""
"01/05/2026 22:30:00 - 01/05/2026 22:45:00","BZN|GR","Without Sequence","100.00","",""
"01/05/2026 22:45:00 - 01/05/2026 23:00:00","BZN|GR","Without Sequence","100.00","",""
"01/05/2026 23:00:00 - 01/05/2026 23:15:00","BZN|GR","Without Sequence","106.63","",""
"01/05/2026 23:15:00 - 01/05/2026 23:30:00","BZN|GR","Without Sequence","105.23","",""
"01/05/2026 23:30:00 - 01/05/2026 23:45:00","BZN|GR","Without Sequence","103.90","",""
"01/05/2026 23:45:00 - 02/05/2026 00:00:00","BZN|GR","Without Sequence","100.00","",""
"01/05/2026 00:00:00 - 01/05/2026 00:15:00","BZN|GR","Without Sequence","120.80","",""
"01/05/2026 00:15:00 - 01/05/2026 00:30:00","BZN|GR","Without Sequence","116.38","",""
"01/05/2026 00:30:00 - 01/05/2026 00:45:00","BZN|GR","Without Sequence","109.72","",""
"01/05/2026 00:45:00 - 01/05/2026 01:00:00","BZN|GR","Without Sequence","108.45","",""
"01/05/2026 01:00:00 - 01/05/2026 01:15:00","BZN|GR","Without Sequence","110.57","",""
